plot_id,tree_count,diversity,temperature_c,precipitation_mm,elevation_m,aspect,productivity
P001,3,0.666666666666667,12.3,850,320,North,high
P002,3,0.666666666666667,11.8,920,385,Northeast,high
P003,3,0.666666666666667,13.1,780,295,South,high
P004,3,0.666666666666667,12.7,870,340,Northwest,high
P005,3,0.666666666666667,13.5,740,275,Southeast,high
P006,3,0.666666666666667,12.1,890,355,East,high
P007,3,0.666666666666667,12.9,810,310,West,high
P008,3,0.666666666666667,12.4,860,335,North,high
P009,3,0.666666666666667,13.2,760,285,Southwest,high
P010,3,0.666666666666667,12.6,880,345,Northeast,high
